day,cases,cases_new,growth,growth_percent,date
0,1,1,1,0,1/22/2020
1,1,0,1,0,1/23/2020
2,2,1,2,100,1/24/2020
3,2,0,1,0,1/25/2020
4,5,3,2.5,150,1/26/2020
5,5,0,1,0,1/27/2020
6,5,0,1,0,1/28/2020
7,5,0,1,0,1/29/2020
8,5,0,1,0,1/30/2020
9,7,2,1.4,40,1/31/2020
10,8,1,1.142,14.2,2/1/2020
11,8,0,1,0,2/2/2020
12,11,3,1.375,37.5,2/3/2020
13,11,0,1,0,2/4/2020
14,11,0,1,0,2/5/2020
15,11,0,1,0,2/6/2020
16,11,0,1,0,2/7/2020
17,11,0,1,0,2/8/2020
18,11,0,1,0,2/9/2020
19,11,0,1,0,2/10/2020
20,12,1,1.09,9,2/11/2020
21,12,0,1,0,2/12/2020
22,13,1,1.083,8.3,2/13/2020
23,13,0,1,0,2/14/2020
24,13,0,1,0,2/15/2020
25,13,0,1,0,2/16/2020
26,13,0,1,0,2/17/2020
27,13,0,1,0,2/18/2020
28,13,0,1,0,2/19/2020
29,13,0,1,0,2/20/2020
30,15,2,1.153,15.3,2/21/2020
31,15,0,1,0,2/22/2020
32,15,0,1,0,2/23/2020
33,51,36,3.4,240,2/24/2020
34,51,0,1,0,2/25/2020
35,57,6,1.117,11.7,2/26/2020
36,58,1,1.017,1.7,2/27/2020
37,60,2,1.034,3.4,2/28/2020
38,68,8,1.133,13.3,2/29/2020
39,74,6,1.088,8.8,3/1/2020
40,98,24,1.324,32.4,3/2/2020
41,118,20,1.204,20.4,3/3/2020
42,149,31,1.262,26.2,3/4/2020
43,217,68,1.456,45.6,3/5/2020
44,262,45,1.207,20.7,3/6/2020
45,402,140,1.534,53.4,3/7/2020
46,518,116,1.288,28.8,3/8/2020
47,583,65,1.125,12.5,3/9/2020
48,959,376,1.644,64.4,3/10/2020
49,1281,322,1.335,33.5,3/11/2020
50,1663,382,1.298,29.8,3/12/2020
51,2179,516,1.31,31,3/13/2020
52,2727,548,1.251,25.1,3/14/2020
53,3499,772,1.283,28.3,3/15/2020
54,4632,1133,1.323,32.3,3/16/2020
55,6421,1789,1.386,38.6,3/17/2020
56,7783,1362,1.212,21.2,3/18/2020
57,13677,5894,1.757,75.7,3/19/2020
58,19100,5423,1.396,39.6,3/20/2020
59,25489,6389,1.334,33.4,3/21/2020
60,33276,7787,1.305,30.5,3/22/2020
61,43847,10571,1.317,31.7,3/23/2020
62,53740,9893,1.225,22.5,3/24/2020
63,65778,12038,1.224,22.4,3/25/2020
64,83836,18058,1.274,27.4,3/26/2020
65,101657,17821,1.212,21.2,3/27/2020
66,121478,19821,1.194,19.4,3/28/2020
67,140886,19408,1.159,15.9,3/29/2020
68,161807,20921,1.148,14.8,3/30/2020
69,188172,26365,1.162,16.2,3/31/2020
70,213372,25200,1.133920031,13.3920031,4/1/2020
71,243453,30081,1.140979135,14.0979135,4/2/2020
72,277875,34422,1.141390741,14.1390741,4/3/2020
